Topics,Alpha,Beta,Coherence
6,0.01,0.91,0.4258829240804432
6,symmetric,0.91,0.42449598344150935
6,0.31,0.91,0.42297721556589796
5,symmetric,0.91,0.4115996000559864
5,0.31,0.91,0.40688052267354474
4,0.01,0.91,0.4068656105257198
6,asymmetric,0.91,0.4032305646113732
6,0.91,0.91,0.4030710068925752
6,0.61,0.91,0.4018790851287483
6,0.61,0.61,0.40073692182115955
4,0.31,0.91,0.4001166783311047
4,symmetric,0.91,0.4001166783311047
6,0.01,0.61,0.39697421271112016
5,asymmetric,0.61,0.3952675757554159
6,symmetric,0.01,0.39404930312148395
6,0.31,0.61,0.3935286871396006
6,asymmetric,0.61,0.3934508816654909
6,0.01,0.31,0.39271072400750295
6,0.31,0.31,0.392048208563095
6,symmetric,0.61,0.3912284876560092
6,0.91,0.61,0.3911379320676744
6,0.61,0.31,0.3897199930519473
4,0.61,0.91,0.3890568093189156
4,0.91,0.61,0.3883915578432303
4,0.61,0.61,0.3883691769374765
4,0.91,0.91,0.38807321826228347
6,0.61,0.01,0.38778452722456097
6,0.01,symmetric,0.38683815386141696
5,0.01,0.91,0.3858021590143015
6,symmetric,0.31,0.3856543516397881
4,symmetric,0.61,0.3853846123344229
5,0.61,symmetric,0.38470013223894867
6,0.91,symmetric,0.38446225788068866
4,asymmetric,0.01,0.38439916333219626
4,0.31,0.61,0.38304765886014736
5,0.61,0.91,0.38261268498537343
6,0.91,0.31,0.3824239245252779
5,0.61,0.31,0.38228200361273346
6,0.31,0.01,0.3818314345808675
6,symmetric,symmetric,0.381607275314809
6,0.01,0.01,0.38152409910576224
4,0.61,0.31,0.38083436021429706
4,0.61,symmetric,0.380834360214297
5,0.31,symmetric,0.3804127839814604
4,0.01,0.31,0.3803972886775779
4,0.31,0.01,0.38038280930928836
4,symmetric,0.01,0.38038280930928836
4,0.01,0.61,0.37973421997499834
5,0.91,0.61,0.3794201549131846
6,asymmetric,0.31,0.37928595368584944
4,0.61,0.01,0.37916152882063037
4,0.91,0.01,0.37910841923988503
5,0.91,0.31,0.3789198751795233
5,symmetric,0.61,0.37720950970337935
5,0.61,0.61,0.37693740159469435
4,0.91,symmetric,0.37685915899239947
4,0.31,symmetric,0.3768163566430429
5,0.91,0.91,0.37645240692497317
6,asymmetric,0.01,0.37573919188172306
4,0.01,symmetric,0.37547330772594917
5,0.01,0.61,0.37537382285478893
6,0.31,symmetric,0.37526823007603377
6,0.61,symmetric,0.37470483902374574
5,symmetric,0.31,0.3746325269220351
5,0.31,0.31,0.3746325269220351
6,0.91,0.01,0.37415186324722627
5,0.61,0.01,0.37353839654875165
4,0.01,0.01,0.372672665244339
4,0.91,0.31,0.3723659114989584
4,asymmetric,0.91,0.3717989757610394
4,asymmetric,0.61,0.37144562655368857
5,0.91,symmetric,0.36961315166862796
5,0.31,0.01,0.36909773703312976
5,symmetric,symmetric,0.36906808135071356
5,0.31,0.61,0.3669844245108296
6,asymmetric,symmetric,0.3667936086398273
5,0.91,0.01,0.3656945596375901
5,asymmetric,0.01,0.36427255809379944
4,symmetric,symmetric,0.36404914051582826
4,symmetric,0.31,0.36378084474364614
4,0.31,0.31,0.36378084474364614
5,symmetric,0.01,0.36219483105107625
4,asymmetric,symmetric,0.359022386477153
4,asymmetric,0.31,0.3588525362180137
5,asymmetric,0.31,0.3564224510983431
5,0.01,symmetric,0.3552938885276003
5,asymmetric,symmetric,0.35489058544674423
5,0.01,0.31,0.353729728510877
5,asymmetric,0.91,0.3487505606899618
5,0.01,0.01,0.3443996392830396
