Timestamp,Berikan Penilaian/Feedback Anda Sesuai Petunjuk Yang Ada,Seberapa memuaskan layanan akademik Fasilkom-TI USU yang kamu terima (secara keseluruhan) ?
22/08/2022 20:32:45,"A. Tangibles
Fasilitas yang tersedia pada kampus sudah cukup baik. Toilet dilengkapi dengan sensor gerakan, sehingga sangat menghemat listrik. Ruang kuliah dan laboratorium juga sangat nyaman, tempat selalu bersih dan sejuk sehingga menciptakan kenyamanan dalam belajar mengajar.

B. Reliability
Pelayan staf akademik sudah baik dalam melayani siswa, sehingga ketika dalam kondisi tertentu, staf akademik cepat dalam melayaninya.

C. Assurance
Dosen pembimbinh tugas akhir sangat meluangkan waktu untuk saya. Apabila waktu bimbingan tidak terpenuhi, maka dosen tersebut mencari waktu yang pas sehingga bimbingan tugas akhir tetap terlaksana. Dosen pembimbing juga terus mensupport mahasiswanya untuk tamat tepat waktu.

D. Responsiveness
Fakultas kurang membantu dalam memberikan layanan terhadap mahasiswa yang kurang mampu membayar UKT maupun telat dalam membayar UKT. Seharusnya terdapat info layanan khusus untuk hal ini.

E. Emphaty
Menurut saya fakultas kurang memahami minat dan bakat mahasiswa. Dan dalam sepengetahuan saya fakultas tidak memonitoring kemajuan mahasiswa dari dosen pembimbing akademik.

Kesimpulannya adalah, fasilitas yang disediakan kampus sudah cukup baik, sehingga aman dan nyaman dalam proses belajar mengajar.",5
23/08/2022 21:52:50,"Layanan akademik yang berikan oleh Fasilkom-Ti Usu sejauh ini sudah cukup baik. Fasilitas yang disediakan juga nyaman dan sangat membantu pembelajaran mahasiswa seperti fasilitas ruang kelas dan laboratorium sudah dilengkapi dengan ac, infocus, komputer, dan kursi yang nyaman sehingga dapat meningkatkan semangat belajar mahasiswa. Dosen yang mengajar juga cukup baik, tetapi juga harus meningkatkan kualitas mengajarnya dengan aktif masuk ke kelas dan memberikan inovasi cara belajar lain agar mahasiswa lebih termotivasi memahami materi pembelajaran. Para staff akademik telah bekerja dengan baik tetapi perlu juga meningkatkan pelayanannya untuk lebih cepat, tangkap serta ramah khususnya untuk membantu keperluan mahasiwa yang berhuhungan dengan akademik. Assurance atau perlakuan mahasiswa dalam Fasilkom-Ti Usu sejauh ini masih dalam taraf normal dan belum ditemukan perilaku yang terlalu menyimpang. Fasilkom-Ti Usu memiliki sikap tanggap salah satunya dapat dilihat bahwa fasilkom-ti usu selalu menjaga kebersihan lingkungan kampus hanya saja ada beberapa fasilitas yang perlu diperbaiki seperti keran air dikamar mandi dan stop contact yang tidak berfungsi dengan baik. Empathy atau pemahaman kepada mahasiswa juga telah diberikan oleh Fasilkom-Ti hal ini dapat dilihat dari pengarahan yang berikan pada awal masuk kampus baik dari staff ataupun dari himatif dan juga pengarahan pada semester 7 untuk mahiswa yang mengambil mata kuliah akhir.

Kesimpulannya Fasilkom-Ti telah memberikan performa yang cukup baik hanya saja masi ada beberapa hal yang perlu untuk diperbaiki agar Fasilkom-Ti bisa lebih baik lagi kedepannya.",4
24/08/2022 10:59:29,"Menrut saya, selama saya menerima pelayanan fakultas saya merasa belum puas, dimana perlakuan petugas pelayanan atau staf akademik terhadap mahasiswa tidak ramah, sehingga hal ini membuat mahasiswa takut untuk mengurus sesuatu atau bahkan hanya sekedar bertanya. Untuk lama waktunya juga dalam mengurus sesuatu terhitung cukup lama. Fasilitas yang diberikan oleh pihak fasilitas cukup memadai. Sikap tanggap staf akademik terhadap urusan mahasiswa masih kurang, begitu juga empathy terhadap kepentingan mahasiswanya",2
24/08/2022 12:29:19,"Fasilitas yang saya dapatkan sudah cukup baik, ruang kelas yang luas dan nyaman, toilet yang bersih namun tempat ibadah yang minim. Keadaan dosen dan staf baik, dosen melakukan proses belajar mengajar dengan cukup baik. Untuk perlakuan pada mahasiswa masih kurang baik, seperti bimbingan kepada dosen pembimbing akademik yang tidak dilaksanakan, bimbingan dengan dosen pembimbing skripsi yang masih sering sulit. Pihak fakultas mengayomi mahasiswa dengan cukup baik jika mengalami kendala dalam hal perkuliahan. Sikap tanggap yang masih kurang dari fakultas dalam hal jika mahasiswa dalam mendapatkan keringanan dalam hal biaya. Kepentingan terhadap mahasiswa yg baik.",3
24/08/2022 21:14:52,"Dalam aspek Tangibles, Saya rasa fasilitas fisik Fasilkom-TI sudah sangat baik. Ruang Kuliah bersih dan luas. Laboratorium beberapa sudah cukup nyaman, mungkin ada beberapa laboratorium yang masih agak sempit. Tolietsudah sangat baik, bersih. Saat ini, untuk Ruang Ibadah, khususnya masjid/musholla sudah dalam proses pembangunan. Mungkin feedback yang perlu di pertimbangkan adalah terkait AC yang kurang dingin di beberapa kelas.

Untuk aspek Reliability, Saya rasa tidak ada feedback negatif yang berarti. Kejelasan materi perkuliahan, Modul yang diberikan kepada mahasiswa sudah baik. Ketepatan Waktu Dosen sudah sangat baik. Mungkin untuk Kualitas layanan staf akademik perlu sedikit ditingkatkan karena setiap masa KRS selalu ada masalah.

Untuk aspek Assurance, Saya tidak ada feedback negatif yang berarti. Bimbingan dengan dosen pembimbing akademik dan bimbingan tugas akhir dengan dosen pembimbing tugas akhir sudah sangat baik dalam hal kemudahan komunikasi. Mungkin kesantunan staf dalam memberikan pelayanan agak perlu di tingkatkan, karena kadang-kadang agak ketus, walaupun tidak ada masalah.

Untuk Aspek Responsiveness, Saya tidak ada feedback negatif, Fakultas sudah sangat tanggap dalam membantu mahasiswa apabila menghadapi masalah akademik dan menyediakan bantuan (keringanan) bagi mahasiswa tidak mampu.

Dan untuk Empathy, juga  tidak ada feedback negatif. Fakultas memberikan dukungan penuh dan peduli dalam memahami kepentingan dan kesulitan mahasiswa, memonitor terhadap kemajuan mahasiswa melalui dosen pembimbing akademik, dan berusaha memahami minat dan bakat mahasiswa dan berusaha untuk mengembangkannya

Kesimpulannya, Layanan Akademik yang diberikan Fasilkom-TI sudah sangat baik. Hanya perlu ditingkatkan dalam dalam hal-hal minor seperti fasilitas seperti AC, dan dalam staf layanan akademik.",4
12/09/2022 6:05:03,"Dari segi fisik bangunan sudah cukup baik dengan kelas yang memadai untuk dapat dilaksanakan kegiatan belajar mengajar. tetapi selama saya berkuliah disana saya melihat banyak sekali fasilitas yang baik dan tidak di gunakan secara optimal seperti komputer dan  alat alat multimedia yang canggih(VR, 3D Printing) yang akhirnya kita hanya memakai laptop sendiri yang spesifikasi nya biasa saja begitu juga pada saat lab. Kemudian masalah staf dan dosen ada beberapa kendala seperti staf yang kurang ramah dan terkesan sepele dengan mahasiswa sehingga pekerjaan yang di lakukan staf terkesan lambat dan menjadi sulit untuk mahasiswa yang ingin mengurus sesuatu atau semacam nya. Untuk dosen sudah cukup baik hanya saja untuk beberapa dosen agar ditingkatkan dan lebih peduli kepada semua mahasiswanya. dan saya berharap seluruh staf dan dosen bisa memandang mahasiswa dengan baik agar tidak terjadi seperti yang saya ucapkan diatas. saya merasa mahasiswa itu tidak penting sehingga bisa terjadi hal hal seperti itu. mahasiswa membayar untuk segala fasilitas dan kinerja staf serta dosen di kampus.",2
17/09/2022 12:25:42,"Pelayanan yang saya alami selama di Fasilkom-TI masih terbilang kurang memuaskan, untuk fasilitas fisik kampus cukup memuaskan dan memadai, namun untuk aspek lain yang disebutkan seperti reliability, assurance, responsiveness, dan empathy masih kurang memadai. Untuk Dosen saya rasa sudah cukup andal dalam mengajar mahasiswa, akan tetapi untuk staf akademik masih sangat kurang. Staf akademik tidak cepat tanggap dalam urusan mahasiswa dan kurang mengetahui info info terbaru yang ada, dan sering kali mereka mengarahkan untuk bertanya kepada orang lain sehingga membuat banyak mahasiswa kebingungan. Hal ini dapat menyebabkan terhambatnya urusan mahasiswa yang memerlukan berkas maupun info dari fakultas.",3
17/09/2022 13:47:15,"Layanan kampus secara umum dapat memenuhi kebutuhan para mahasiswa dengan baik. Segala fasilitas baik dari Ruang Kuliah, Laboratorium, Toilet, dan Ruang Ibadah disiapkan dengan optimal. Namun terdapat beberapa kekurangan. Seperti Ruang Kuliah, tidak semua mendapatkan perawatan yang sama, beberapa Ruang Kuliah tidak mendapatkan pencahayaan yang merata, sirkulasi udara yang kurang baik dan kursi meja yang kurang layak untuk digunakan. Laboratorium memiliki komputer desktop yang seharusnya dapat digunakan namun terdapat beberapa komputer yang tidak dapat digunakan karena kurangnya perangkat tambahan seperti keyboard dan mouse, bahkan tidak semua laboratorium memiliki kursi yang cukup untuk para mahasiswa. Toilet berfungsi dengan baik namun terkadang lampu di dalam toilet kurang berfungsi secara optimal sehingga keadaan toilet cukup gelap.

Untuk penilaian Keandalan Dosen dan Staf Akademik, terdapat beberapa dosen yang kurang jelas dalam memberi materi perkuliahan, ada beberapa yang menjelaskan terlalu berbelit sehingga hanya membingungkan mahasiswa, Modul yang diberikan cukup lengkap namun tidak seluruhnya merangkup materi yang dibutuhkan. Terkadang dosen datang tidak tepat waktu namun memberikan alasan yang jelas. Kualitas layanan staf akademik cukup baik namun sering membutuhkan waktu yang lama dalam penyelesaian tugas.

Perlakuan pada mahasiswa merupakan subjek penilaian yang menurut saya bersifat subjektif dan akan memiliki tingkat penilaian yang sangat variatif dimana berkaitan erat serta dipengaruhi oleh masing-masing staf yang memberikan pelayanan. Secara umum dan melihat perlakuan umum di masyarakat, kesantunan staf dalam memberikan pelayanan cukup baik. Dan untuk bimbingan dengan dosen pembimbing akademik serta bimbingan tugas akhir dengan dosen pembimbing tugas akhir, menurut saya pribadi sangat berjalan dengan baik dan cukup memuaskan.

Untuk Sikap Tanggap Fakultas, Fakultas tidak selalu membantu mahasiswa dalam masalah akademik dan bantuan (keringanan) bagi mahasiswa tidak mampu sering sekali diberikan terlambat bahkan terkadang tidak memberikan bantuan sama sekali.

Dalam Pemahaman Terhadap Kepentingan Mahasiswa, Fakultas sering sekali terlihat tidak memahami kepentingan dan kesulitan mahasiswa, terlihat dalam lamanya proses membantu mahasiswa dalam urusan administratif terkait mahasiswa yang memiliki peluang mengukir prestasi namun terkendala dalam finansial. Monitor kemajuan mahasiswa melalui dosen pembimbing akademik dilakukan dengan baik namun secara pribadi, dirasa kurang optimal karena tidak terdapat dampak atau pengaruh yang dihasilkan dari hal tersebut. Dan untuk memahami minat dan bakat mahasiswa baru dilakukan belakangan ini sehingga saya rasa belum cukup untuk diberikan penilaian.

Kesimpulan dari penilaian diatas adalah Layanan Akademik Kampus sudah berjalan dengan baik namun masih kurang dari segi pelayanan terhadap masing-masing mahasiswa.",3
19/09/2022 20:41:41,"Pelayanan akademik di Fasilkom TI USU agak ribet dan menyulitkan karena masih melalui sistem konvensional dan harus menghubungi salah satu pegawai. Pengurusan surat pun masih sedikit yang terintegrasi dengan sistem ASA USU. Service yang diberikan pegawai Tu bagian surat menyurat kepada mahasiswa terkesan hanya menyelesaikan tanggung jawab dan tidak ada value lebih yang diberikan. Kritik dan saran yang pernah diberikan salah satu mahasiswa juga tidak ditanggapi dengan positif. Intinya, perlu reformasi di bagian pegawai TU bagian surat menyurat.  ",2
10/10/2022 16:21:17,"Secara keseluruhan layanan akademik di Fasilkom-TI sudah sangat baik, fasilitas fisik kampus sudah cukup membantu mahasiswa. Kelengkapan tools yang digunakan di dalam kelas, laboratorium yang dapat digunakan oleh mahasiswa dalam meningkatkan kemampuan mahasiswa. Bukan hanya fasilitas fisik, dosen dan staf pengajar yang sangat mumpuni dalam bidangnya, sehingga mahasiswa yang diajar dapat mengerti suatu mata kuliah dengan baik. Dengan layanan akademik yang baik pula membuat mahasiswa nyaman dalam melaksanakan pembelajaran. ",4
