ulasan,rating,tangibles,reliability,emphaty,assurance,kategori,sentiment,polaritas
fasilitas tersedia kampus baik,5,1,1,0,1,"tangibles, reliability, assurance",9,positive
toilet lengkap sensor gerakan hemat listrik,5,1,0,0,0,tangibles,10,positive
ruang kuliah laboratorium nyaman tempat bersih sejuk cipta kenyamanan belajar ajar,5,1,1,0,1,"tangibles, reliability, assurance",-1,negative
pelayan staf akademik baik melayani siswa kondisi staf akademik cepat layan,5,1,1,1,1,"tangibles, reliability, emphaty, assurance",18,positive
dosen pembimbinh tugas luang,5,1,1,1,1,"tangibles, reliability, emphaty, assurance",1,positive
bimbingan tidak penuh dosen mencari pas bimbingan tugas tetap laksana,5,1,1,1,1,"tangibles, reliability, emphaty, assurance",-4,negative
dosen pembimbing mensupport mahasiswa tamat,5,1,1,1,1,"tangibles, reliability, emphaty, assurance",6,positive
fakultas kurang membantu layanan mahasiswa kurang mampu membayar ukt telat membayar ukt,5,1,1,1,1,"tangibles, reliability, emphaty, assurance",-20,negative
info layanan khusus,5,0,0,0,0,umum,-2,negative
fakultas kurang memahami minat bakat mahasiswa,5,1,1,1,1,"tangibles, reliability, emphaty, assurance",2,positive
tahu fakultas tidak memonitoring maju mahasiswa dosen pembimbing akademik,5,1,1,1,1,"tangibles, reliability, emphaty, assurance",7,positive
simpul fasilitas sedia kampus baik aman nyaman proses belajar ajar,5,1,1,0,1,"tangibles, reliability, assurance",19,positive
layanan akademik fasilkom-ti usu baik,4,1,1,1,1,"tangibles, reliability, emphaty, assurance",6,positive
fasilitas sedia nyaman membantu ajar mahasiswa fasilitas ruang kelas laboratorium lengkap ac infocus komputer kursi nyaman tingkat semangat belajar mahasiswa,4,1,1,1,1,"tangibles, reliability, emphaty, assurance",15,positive
dosen ajar baik harus tingkat kualitas ajar aktif masuk kelas inovasi belajar lain agar mahasiswa lebih motivasi memahami materi ajar,4,1,1,1,1,"tangibles, reliability, emphaty, assurance",8,positive
para staff akademik baik perlu tingkat layan lebih cepat tangkap serta ramah membantu keperluan mahasiwa berhuhungan akademik,4,1,1,1,1,"tangibles, reliability, emphaty, assurance",27,positive
