ulasan,rating,tangibles,reliability,emphaty,assurance,kategori
fasilitas tersedia kampus baik,5,1,1,0,1,"tangibles, reliability, assurance"
toilet lengkap sensor gerakan hemat listrik,5,1,0,0,0,tangibles
ruang kuliah laboratorium nyaman tempat bersih sejuk cipta kenyamanan belajar ajar,5,1,1,0,1,"tangibles, reliability, assurance"
pelayan staf akademik baik melayani siswa kondisi staf akademik cepat layan,5,1,1,1,1,"tangibles, reliability, emphaty, assurance"
dosen pembimbinh tugas luang,5,1,1,1,1,"tangibles, reliability, emphaty, assurance"
bimbingan tidak penuh dosen mencari pas bimbingan tugas tetap laksana,5,1,1,1,1,"tangibles, reliability, emphaty, assurance"
dosen pembimbing mensupport mahasiswa tamat,5,1,1,1,1,"tangibles, reliability, emphaty, assurance"
fakultas kurang membantu layanan mahasiswa kurang mampu membayar ukt telat membayar ukt,5,1,1,1,1,"tangibles, reliability, emphaty, assurance"
info layanan khusus,5,0,0,0,0,umum
fakultas kurang memahami minat bakat mahasiswa,5,1,1,1,1,"tangibles, reliability, emphaty, assurance"
tahu fakultas tidak memonitoring maju mahasiswa dosen pembimbing akademik,5,1,1,1,1,"tangibles, reliability, emphaty, assurance"
simpul fasilitas sedia kampus baik aman nyaman proses belajar ajar,5,1,1,0,1,"tangibles, reliability, assurance"
layanan akademik fasilkom-ti usu baik,4,1,1,1,1,"tangibles, reliability, emphaty, assurance"
fasilitas sedia nyaman membantu ajar mahasiswa fasilitas ruang kelas laboratorium lengkap ac infocus komputer kursi nyaman tingkat semangat belajar mahasiswa,4,1,1,1,1,"tangibles, reliability, emphaty, assurance"
dosen ajar baik harus tingkat kualitas ajar aktif masuk kelas inovasi belajar lain agar mahasiswa lebih motivasi memahami materi ajar,4,1,1,1,1,"tangibles, reliability, emphaty, assurance"
para staff akademik baik perlu tingkat layan lebih cepat tangkap serta ramah membantu keperluan mahasiwa berhuhungan akademik,4,1,1,1,1,"tangibles, reliability, emphaty, assurance"
laku mahasiswa fasilkom-ti usu taraf normal belum temu perilaku terlalu menyimpang,4,1,1,1,1,"tangibles, reliability, emphaty, assurance"
fasilkom-ti usu milik sikap tanggap salah satu fasilkom-ti usu menjaga bersih lingkungan kampus hanya saja fasilitas perlu baik keran air kamar mandi stop contact tidak fungsi baik,4,1,1,0,1,"tangibles, reliability, assurance"
empathy paham mahasiswa fasilkom-ti arah awal masuk kampus baik staff himatif arah semester mahiswa ambil mata kuliah,4,1,1,1,1,"tangibles, reliability, emphaty, assurance"
simpul fasilkom-ti performa baik hanya saja mas perlu baik agar fasilkom-ti lebih baik lagi depan,4,1,1,0,1,"tangibles, reliability, assurance"
menrut menerima pelayanan fakultas merasa belum puas mana laku petugas pelayanan staf akademik mahasiswa tidak ramah membuat mahasiswa takut urus hanya dar bertanya,2,1,1,1,1,"tangibles, reliability, emphaty, assurance"
lama urus hitung lama,2,0,0,0,1,assurance
fasilitas pihak fasilitas pada,2,1,1,0,1,"tangibles, reliability, assurance"
sikap tanggap staf akademik urus mahasiswa kurang empathy kepentingan mahasiswa,2,1,1,1,1,"tangibles, reliability, emphaty, assurance"
fasilitas dapatkan baik ruang kelas luas nyaman toilet bersih tempat ibadah minim,3,1,1,0,1,"tangibles, reliability, assurance"
dosen staf baik dosen proses belajar ajar baik,3,1,1,1,1,"tangibles, reliability, emphaty, assurance"
laku mahasiswa kurang baik bimbingan dosen pembimbing akademik tidak laksana bimbingan dosen pembimbing skripsi sering sulit,3,1,1,1,1,"tangibles, reliability, emphaty, assurance"
pihak fakultas ayom mahasiswa baik mengalami kendala kuliah,3,1,1,1,1,"tangibles, reliability, emphaty, assurance"
sikap tanggap kurang fakultas mahasiswa keringanan biaya,3,1,1,1,1,"tangibles, reliability, emphaty, assurance"
kepentingan mahasiswa baik,3,1,1,1,1,"tangibles, reliability, emphaty, assurance"
aspek rasa fasilitas fisik fasilkom-ti baik,4,1,1,0,1,"tangibles, reliability, assurance"
ruang kuliah bersih luas,4,1,1,0,1,"tangibles, reliability, assurance"
laboratorium nyaman mungkin laboratorium sempit,4,0,0,0,0,umum
